Rok produkcji,Przebieg,Pojemność skokowa,Moc,Spalanie W Mieście,Cena,Oferta od_Firmy,Oferta od_Osoby prywatnej,Rodzaj paliwa_Benzyna,Rodzaj paliwa_Diesel,Skrzynia biegów_Automatyczna,Skrzynia biegów_Manualna,Kraj pochodzenia_Inne,Kraj pochodzenia_Niemcy,Kraj pochodzenia_Polska,Zarejestrowany w Polsce_Nie,Zarejestrowany w Polsce_Tak
2019,102122,1598.0,115.0,6.164663461538455,68000,1,0,0,1,0,1,0,0,1,0,1
2009,176000,1595.0,102.0,9.0,27900,0,1,1,0,0,1,0,1,0,0,1
2011,106977,1390.0,160.0,8.0,38000,0,1,1,0,0,1,0,1,0,0,1
2023,5,1498.0,130.0,7.190939597315435,127200,1,0,1,0,0,1,0,0,1,1,0
2023,5,1984.0,245.0,6.21623931623932,191500,1,0,1,0,1,0,0,0,1,1,0
2023,5,1498.0,150.0,6.928000000000002,122800,1,0,1,0,0,1,0,0,1,1,0
2019,147099,1968.0,150.0,6.21623931623932,78900,1,0,0,1,1,0,0,1,0,0,1
2019,100803,999.0,115.0,7.190939597315435,56800,1,0,1,0,0,1,0,0,1,0,1
2019,147000,1598.0,115.0,4.0,67900,0,1,0,1,1,0,0,0,1,0,1
2013,145370,1197.0,105.0,6.0,41800,0,1,1,0,0,1,0,1,0,1,0
2017,103699,1498.0,150.0,6.928000000000002,82000,0,1,1,0,1,0,0,0,1,0,1
2018,117013,1598.0,115.0,6.164663461538455,62500,1,0,0,1,0,1,1,0,0,0,1
2017,98404,1395.0,125.0,7.190939597315435,69499,1,0,1,0,0,1,1,0,0,0,1
2017,127388,1598.0,90.0,6.164663461538455,59500,1,0,0,1,0,1,1,0,0,0,1
2016,105311,1598.0,110.0,6.164663461538455,49000,1,0,0,1,0,1,1,0,0,0,1
1992,223334,1595.0,70.0,6.164663461538455,12500,0,1,1,0,1,0,0,1,0,1,0
2018,124218,1598.0,115.0,6.164663461538455,59800,1,0,0,1,0,1,1,0,0,0,1
2007,291681,1984.0,200.0,11.0,25500,0,1,1,0,0,1,1,0,0,0,1
2009,219000,1968.0,110.0,6.0,27500,1,0,0,1,0,1,0,1,0,1,0
2020,97771,1598.0,115.0,6.164663461538455,77900,1,0,0,1,0,1,0,1,0,0,1
2007,199000,1390.0,80.0,7.190939597315435,17750,1,0,1,0,0,1,1,0,0,1,0
2002,196153,1390.0,75.0,7.190939597315435,9399,0,1,1,0,0,1,0,1,0,1,0
2018,177969,1598.0,115.0,6.164663461538455,62700,1,0,0,1,0,1,0,0,1,0,1
2008,191334,1896.0,105.0,6.0,18600,1,0,0,1,0,1,1,0,0,1,0
1991,417397,1595.0,70.0,6.164663461538455,3000,0,1,1,0,0,1,0,1,0,1,0
2004,208000,1896.0,105.0,6.0,15900,1,0,0,1,0,1,0,1,0,1,0
1999,279500,1595.0,100.0,6.164663461538455,5100,0,1,1,0,0,1,0,1,0,0,1
2009,190450,1595.0,102.0,9.0,25000,0,1,1,0,0,1,1,0,0,0,1
2010,206500,1595.0,102.0,9.0,27500,0,1,1,0,0,1,1,0,0,1,0
2013,119500,1984.0,230.0,7.8,71900,0,1,1,0,0,1,1,0,0,1,0
2003,256249,1896.0,100.0,6.0,8500,0,1,0,1,0,1,1,0,0,0,1
2015,197000,1395.0,125.0,6.0,43050,0,1,1,0,1,0,0,0,1,0,1
2008,116399,1390.0,160.0,8.4,24499,0,1,1,0,0,1,1,0,0,0,1
2018,119000,1598.0,115.0,4.0,51990,0,1,0,1,0,1,0,0,1,0,1
2012,89000,1598.0,105.0,5.0,35900,0,1,0,1,0,1,1,0,0,1,0
2015,217000,1968.0,184.0,5.0,66900,0,1,0,1,1,0,0,1,0,1,0
2011,180197,1197.0,85.0,7.1,25900,0,1,1,0,0,1,0,1,0,1,0
2002,219170,3189.0,241.0,16.0,52500,1,0,1,0,0,1,1,0,0,0,1
2007,259205,1984.0,200.0,11.0,20000,0,1,1,0,0,1,1,0,0,0,1
2007,211000,1595.0,102.0,6.164663461538455,17900,1,0,1,0,0,1,1,0,0,0,1
2018,208000,999.0,110.0,5.0,52900,1,0,1,0,1,0,0,0,1,0,1
2009,236000,1896.0,105.0,5.0,15500,0,1,0,1,0,1,0,1,0,0,1
2013,111500,1395.0,122.0,6.0,58500,0,1,1,0,0,1,1,0,0,0,1
2018,134737,1968.0,184.0,5.3,109900,1,0,0,1,1,0,0,1,0,0,1
